node,x,y
c1_1,86,390
c1_2,133,390
c1_3,184,390
c1_4,238,390
c1_5,312,390
c1_6,350,390
c1_7,390,390
c1_8,468,390

c2_1,86,294
c2_2,133,294
c2_3,184,294
c2_4,238,294
c2_5,312,294
c2_6,350,294
c2_7,390,294
c2_8,468,294

c3_1,86,188
c3_2,133,188
c3_3,184,188
c3_4,238,188
c3_5,312,188
c3_6,350,188
c3_7,390,188
c3_8,468,188

c4_1,238,138
c4_2,312,138
c4_3,350,138
c4_4,390,138

c5_1,86,86
c5_2,133,86
c5_3,184,86
c5_4,238,86
c5_5,312,86
c5_6,350,86
c5_7,390,86
c5_8,468,86
