node1,node2,distance
c1_1,c1_2,6.855654600401044
c1_2,c1_3,7.14142842854285
c1_3,c1_4,7.3484692283495345
c1_4,c1_5,8.602325267042627
c1_5,c1_6,6.164414002968976
c1_6,c1_7,6.324555320336759
c1_7,c1_8,8.831760866327848
c2_1,c2_2,6.855654600401044
c2_2,c2_3,7.14142842854285
c2_3,c2_4,7.3484692283495345
c2_4,c2_5,8.602325267042627
c2_5,c2_6,6.164414002968976
c2_6,c2_7,6.324555320336759
c2_7,c2_8,8.831760866327848
c3_1,c3_2,6.855654600401044
c3_2,c3_3,7.14142842854285
c3_3,c3_4,7.3484692283495345
c3_4,c3_5,8.602325267042627
c3_5,c3_6,6.164414002968976
c3_6,c3_7,6.324555320336759
c3_7,c3_8,8.831760866327848
c4_1,c4_2,8.602325267042627
c4_2,c4_3,6.164414002968976
c4_3,c4_4,6.324555320336759
c5_1,c5_2,6.855654600401044
c5_2,c5_3,7.14142842854285
c5_3,c5_4,7.3484692283495345
c5_4,c5_5,8.602325267042627
c5_5,c5_6,6.164414002968976
c5_6,c5_7,6.324555320336759
c5_7,c5_8,8.831760866327848
c1_1,c2_1,9.797958971132712
c2_1,c3_1,10.295630140987
c3_1,c5_1,10.099504938362077
c1_2,c2_2,9.797958971132712
c2_2,c3_2,10.295630140987
c3_2,c5_2,10.099504938362077
c1_3,c2_3,9.797958971132712
c2_3,c3_3,10.295630140987
c3_3,c5_3,10.099504938362077
c1_4,c2_4,9.797958971132712
c2_4,c3_4,10.295630140987
c3_4,c4_1,7.0710678118654755
c4_1,c5_4,7.211102550927978
c1_5,c2_5,9.797958971132712
c2_5,c3_5,10.295630140987
c3_5,c4_2,7.0710678118654755
c4_2,c5_5,7.211102550927978
c1_6,c2_6,9.797958971132712
c2_6,c3_6,10.295630140987
c3_6,c4_3,7.0710678118654755
c4_3,c5_6,7.211102550927978
c1_7,c2_7,9.797958971132712
c2_7,c3_7,10.295630140987
c3_7,c4_4,7.0710678118654755
c4_4,c5_7,7.211102550927978
c1_8,c2_8,9.797958971132712
c2_8,c3_8,10.295630140987
c3_8,c5_8,10.099504938362077
